"","Bio.","Rīgas 92. vidusskola","74.67"
"","Fiz.","Rīgas 92. vidusskola","54.5"
"","Ķīm.","Rīgas 92. vidusskola","70.67"
"","Latv. val.","Rīgas 92. vidusskola","34.69"
"","Matem.","Rīgas 92. vidusskola","35.11"
"","Latv. val. 9.kl.","Rīgas 92. vidusskola","63.29"
"","Angļu v.","Rīgas 93. vidusskola","70.97"
"","Krievu v.","Rīgas 93. vidusskola","78.35"
"","Latv. val.","Rīgas 93. vidusskola","63.16"
"","Matem.","Rīgas 93. vidusskola","26.41"
"","Vācu val.","Rīgas 93. vidusskola","52.5"
"","Angļu v.","Rīgas 94. vidusskola","69.5"
"","Bio.","Rīgas 94. vidusskola","60"
"","Fiz.","Rīgas 94. vidusskola","32.67"
"","Krievu v.","Rīgas 94. vidusskola","77.83"
"","Latv. val.","Rīgas 94. vidusskola","62.09"
"","Vēsture","Rīgas 94. vidusskola","58.47"
"","Matem.","Rīgas 94. vidusskola","39.97"
"","Angļu v.","Rīgas 95. vidusskola","58.87"
"","Bio.","Rīgas 95. vidusskola","47.89"
"","Fiz.","Rīgas 95. vidusskola","28.33"
"","Ķīm.","Rīgas 95. vidusskola","65.33"
"","Latv. val.","Rīgas 95. vidusskola","40.53"
"","Vēsture","Rīgas 95. vidusskola","58.2"
"","Matem.","Rīgas 95. vidusskola","43.11"
"","Latv. val. 9.kl.","Rīgas 95. vidusskola","65.69"
"","Angļu v.","Rīgas 96. vidusskola","66.61"
"","Bio.","Rīgas 96. vidusskola","59.56"
"","Fiz.","Rīgas 96. vidusskola","60.67"
"","Ķīm.","Rīgas 96. vidusskola","79.67"
"","Latv. val.","Rīgas 96. vidusskola","47.19"
"","Matem.","Rīgas 96. vidusskola","50.59"
"","Latv. val. 9.kl.","Rīgas 96. vidusskola","64.82"
"","Angļu v.","Rīgas Angļu ģimnāzija","82.14"
"","Bio.","Rīgas Angļu ģimnāzija","65.27"
"","Fiz.","Rīgas Angļu ģimnāzija","36.22"
"","Krievu v.","Rīgas Angļu ģimnāzija","72.72"
"","Ķīm.","Rīgas Angļu ģimnāzija","48"
"","Latv. val.","Rīgas Angļu ģimnāzija","62.34"
"","Vēsture","Rīgas Angļu ģimnāzija","75.6"
"","Matem.","Rīgas Angļu ģimnāzija","45.23"
"","Angļu v.","Rīgas Anniņmuižas vidusskola","57.18"
"","Bio.","Rīgas Anniņmuižas vidusskola","68.22"
"","Fiz.","Rīgas Anniņmuižas vidusskola","61.5"
"","Ķīm.","Rīgas Anniņmuižas vidusskola","74.5"
"","Latv. val.","Rīgas Anniņmuižas vidusskola","39.89"
"","Matem.","Rīgas Anniņmuižas vidusskola","45.56"
"","Latv. val. 9.kl.","Rīgas Anniņmuižas vidusskola","62.26"
"","Latv. val. 9.kl.","Rīgas Austrumu vidusskola","49.98"
"","Angļu v.","Rīgas Centra humanitārā vidusskola","90.22"
"","Bio.","Rīgas Centra humanitārā vidusskola","68.33"
"","Fiz.","Rīgas Centra humanitārā vidusskola","42.67"
"","Krievu v.","Rīgas Centra humanitārā vidusskola","87.3"
"","Ķīm.","Rīgas Centra humanitārā vidusskola","68.44"
"","Latv. val.","Rīgas Centra humanitārā vidusskola","71.79"
"","Vēsture","Rīgas Centra humanitārā vidusskola","79.44"
"","Matem.","Rīgas Centra humanitārā vidusskola","43.25"
"","Vācu val.","Rīgas Centra humanitārā vidusskola","69.18"
"","Angļu v.","Rīgas Centra krievu privātģimnāzija","65.49"
"","Angļu v.","Rīgas Daugavgrīvas vidusskola","58.69"
"","Latv. val.","Rīgas Daugavgrīvas vidusskola","34.43"
"","Matem.","Rīgas Daugavgrīvas vidusskola","48.96"
"","Latv. val. 9.kl.","Rīgas Daugavgrīvas vidusskola","64.64"
"","Angļu v.","Rīgas Franču licejs","87.63"
"","Bio.","Rīgas Franču licejs","66.5"
"","Fiz.","Rīgas Franču licejs","36.07"
"","Krievu v.","Rīgas Franču licejs","76.63"
"","Ķīm.","Rīgas Franču licejs","90"
"","Latv. val.","Rīgas Franču licejs","75.41"
"","Vēsture","Rīgas Franču licejs","72.05"
"","Matem.","Rīgas Franču licejs","44.96"
"","Angļu v.","Rīgas ģimnāzija ""Maksima""","80.99"
"","Fiz.","Rīgas ģimnāzija ""Maksima""","46.67"
"","Latv. val.","Rīgas ģimnāzija ""Maksima""","46.83"
"","Vēsture","Rīgas ģimnāzija ""Maksima""","78.23"
"","Matem.","Rīgas ģimnāzija ""Maksima""","33.21"
"","Angļu v.","Rīgas Hanzas vidusskola","77.72"
"","Bio.","Rīgas Hanzas vidusskola","50.33"
"","Fiz.","Rīgas Hanzas vidusskola","41.33"
"","Krievu v.","Rīgas Hanzas vidusskola","77.72"
"","Latv. val.","Rīgas Hanzas vidusskola","63.57"
"","Vēsture","Rīgas Hanzas vidusskola","69.62"
"","Matem.","Rīgas Hanzas vidusskola","32.26"
"","Angļu v.","Rīgas Imantas vidusskola","60.31"
"","Bio.","Rīgas Imantas vidusskola","43.33"
"","Krievu v.","Rīgas Imantas vidusskola","74.23"
"","Latv. val.","Rīgas Imantas vidusskola","53.98"
"","Vēsture","Rīgas Imantas vidusskola","77.82"
"","Matem.","Rīgas Imantas vidusskola","20.29"
"","Angļu v.","Rīgas Itas Kozakēvičas Poļu vidusskola","59.07"
"","Bio.","Rīgas Itas Kozakēvičas Poļu vidusskola","47.33"
"","Fiz.","Rīgas Itas Kozakēvičas Poļu vidusskola","22"
"","Krievu v.","Rīgas Itas Kozakēvičas Poļu vidusskola","85.37"
"","Ķīm.","Rīgas Itas Kozakēvičas Poļu vidusskola","30.67"
"","Latv. val.","Rīgas Itas Kozakēvičas Poļu vidusskola","49.61"
"","Matem.","Rīgas Itas Kozakēvičas Poļu vidusskola","44.73"
"","Latv. val. 9.kl.","Rīgas Itas Kozakēvičas Poļu vidusskola","74.85"
"","Angļu v.","Rīgas Jāņa Poruka vidusskola","53.96"
"","Bio.","Rīgas Jāņa Poruka vidusskola","19.33"
"","Krievu v.","Rīgas Jāņa Poruka vidusskola","70.3"
"","Latv. val.","Rīgas Jāņa Poruka vidusskola","43.78"
"","Vēsture","Rīgas Jāņa Poruka vidusskola","39.52"
"","Matem.","Rīgas Jāņa Poruka vidusskola","14.17"
"","Angļu v.","Rīgas Juglas vidusskola","76.64"
"","Bio.","Rīgas Juglas vidusskola","50.89"
"","Fiz.","Rīgas Juglas vidusskola","62.67"
"","Krievu v.","Rīgas Juglas vidusskola","80.91"
"","Latv. val.","Rīgas Juglas vidusskola","66.99"
"","Vēsture","Rīgas Juglas vidusskola","65.12"
"","Matem.","Rīgas Juglas vidusskola","46.7"
"","Angļu v.","Rīgas Katoļu ģimnāzija","75.67"
"","Bio.","Rīgas Katoļu ģimnāzija","72.67"
"","Latv. val.","Rīgas Katoļu ģimnāzija","59.94"
"","Matem.","Rīgas Katoļu ģimnāzija","25.31"
"","Angļu v.","Rīgas Klasiskā ģimnāzija","74.64"
"","Bio.","Rīgas Klasiskā ģimnāzija","74.44"
"","Fiz.","Rīgas Klasiskā ģimnāzija","51.28"
"","Ķīm.","Rīgas Klasiskā ģimnāzija","67.67"
"","Latv. val.","Rīgas Klasiskā ģimnāzija","53.19"
"","Vēsture","Rīgas Klasiskā ģimnāzija","82.86"
"","Matem.","Rīgas Klasiskā ģimnāzija","50.92"
"","Vācu val.","Rīgas Klasiskā ģimnāzija","51.12"
"","Latv. val. 9.kl.","Rīgas Klasiskā ģimnāzija","78.41"
"","Angļu v.","Rīgas Kultūru vidusskola","76.93"
"","Ķīm.","Rīgas Kultūru vidusskola","56.44"
"","Latv. val.","Rīgas Kultūru vidusskola","69.54"
"","Vēsture","Rīgas Kultūru vidusskola","70.4"
"","Matem.","Rīgas Kultūru vidusskola","32.28"
"","Angļu v.","Rīgas Ķengaraga vidusskola","57.81"
"","Bio.","Rīgas Ķengaraga vidusskola","82"
"","Fiz.","Rīgas Ķengaraga vidusskola","51.33"
"","Ķīm.","Rīgas Ķengaraga vidusskola","27.56"
"","Latv. val.","Rīgas Ķengaraga vidusskola","34.6"
"","Vēsture","Rīgas Ķengaraga vidusskola","62.5"
"","Matem.","Rīgas Ķengaraga vidusskola","36.02"
"","Latv. val. 9.kl.","Rīgas Ķengaraga vidusskola","64.9"
"","Latv. val. 9.kl.","Rīgas Lastādijas internātpamatskola","40.37"
"","Angļu v.","Rīgas Lietuviešu vidusskola","75.57"
"","Bio.","Rīgas Lietuviešu vidusskola","69.11"
"","Latv. val.","Rīgas Lietuviešu vidusskola","72.48"
